speed_rank,validation_rank,model,validation_rmse,validation_mae,validation_r2,fit_time_seconds,validation_prediction_seconds,stack_level,can_infer
1,3,ExtraTreesMSE,23171.507795908907,727.5990491497887,-2018.2596562896506,0.5058629512786865,0.06239008903503418,1,True
2,2,RandomForestMSE,22859.709498469856,677.2818360294161,-1964.2825276343806,1.0817012786865234,0.06713128089904785,1,True
3,1,WeightedEnsemble_L2,21555.30439901677,700.5088815522088,-1746.3982619322535,1.5994670391082764,0.1297163963317871,2,True
