speed_rank,validation_rank,model_id,rmse,mse,mae,rmsle,mean_residual_deviance,training_time_ms,predict_time_per_row_ms,algo
1,5,GLM_1_AutoML_1_20260731_162003,277.2865326164807,76887.82117047062,230.05576722922004,0.3058935847724418,76887.82117047062,146,0.000346,GLM
2,3,GBM_3_AutoML_1_20260731_162003,143.89009603862516,20704.35973800477,106.13591102700494,0.1636889789215751,20704.35973800477,192,0.004106,GBM
3,2,GBM_2_AutoML_1_20260731_162003,143.71160142540748,20653.02438425518,105.97866983044992,0.163478079437203,20653.02438425518,217,0.004432,GBM
