variable,relative_importance,scaled_importance,percentage
gender,4915696640.0,1.0,0.5050614272819611
weight_height_ratio,2413938944.0,0.4910675171362894,0.24801926109666322
fran,2403233280.0,0.4888896642735057,0.24691931162137562
