validation_rank,model_id,rmse,mse,mae,rmsle,mean_residual_deviance,training_time_ms,predict_time_per_row_ms,algo
1,GBM_1_AutoML_1_20260731_162003,143.57868602858534,20614.83908169509,105.77375735789492,0.1634455180671297,20614.83908169509,807,0.005123,GBM
2,GBM_2_AutoML_1_20260731_162003,143.71160142540748,20653.02438425518,105.97866983044992,0.163478079437203,20653.02438425518,217,0.004432,GBM
3,GBM_3_AutoML_1_20260731_162003,143.89009603862516,20704.35973800477,106.13591102700494,0.1636889789215751,20704.35973800477,192,0.004106,GBM
