platform,feature_set,feature_count,best_model,validation_rmse,test_rmse,test_mae,test_r2,training_wall_clock_seconds,test_prediction_seconds,test_rmse_change_vs_all,training_time_change_vs_all
AutoGluon,all_features,,ExtraTreesMSE,100764.93675207466,88633.53176933942,2853.145287545531,-94178.07456067229,11.213219207998918,0.2438131670023722,0.0,0.0
AutoGluon,top_features,3.0,WeightedEnsemble_L2,21555.30439901677,69453.01836681722,1503.45699745749,-57827.31763390027,2.5560422079979617,0.3717995420010993,-19180.513402522192,-8.657177000000956
