split,row_count,target_mean,target_median,target_std,target_maximum
train,34243,1002.4891510673714,1020.0,279.0570212661102,2330.0
validation,8561,1011.2949421796519,1030.0,277.1583541997002,2155.0
test,10701,1002.4014578076815,1020.0,275.8002757206639,2040.0
