feature,importance,stddev,p_value,n,p99_high,p99_low
gender,89.9444584691979,3.849718580567665,0.0003050424756739042,3,112.00377284544524,67.88514409295055
fran,32.63244028853818,0.5537949604196405,4.799379701875654e-05,3,35.805746824123155,29.459133752953196
weight_height_ratio,16.450622747847515,0.6813929142853147,0.0002856978252811356,3,20.35507970889392,12.546165786801106
grace,16.162522691733667,1.208983992284087,0.0009299479159075878,3,23.090135036247617,9.234910347219719
pullups,15.44715157836743,0.4428188173944104,0.00013690700391304187,3,17.98455250786108,12.909750648873782
