speed_rank,validation_rank,model,validation_rmse,validation_mae,validation_r2,fit_time_seconds,validation_prediction_seconds
1,1,ExtraTreesMSE,100764.93675207466,3592.5809899080086,-38184.849115183606,1.7949090003967285,0.09100699424743652
2,2,WeightedEnsemble_L2,100764.93675207466,3592.5809899080086,-38184.849115183606,1.8166790008544922,0.09159708023071289
3,3,RandomForestMSE,124348.4439638719,3522.483711037824,-58150.950892430206,7.939006090164185,0.09456992149353027
