importance_rank,feature,importance,stddev,p_value,n,p99_high,p99_low
1,region,9983.64984580921,15762.73763725485,0.19353722005113727,3,100305.8844958127,-80338.58480419428
2,height,6971.240943201784,2078.6084929015897,0.014189725686943891,3,18881.89811214544,-4939.416225741875
3,bmi,4120.953326658894,958.6957894107427,0.008783199727494606,3,9614.386513319972,-1372.479860002184
4,weight,3655.3103708419853,2984.7707149718617,0.08398438712272557,3,20758.377559943387,-13447.756818259417
5,weight_height_ratio,2320.8402451841007,278.87516506360834,0.002389221164640551,3,3918.8258665016165,722.8546238665847
6,age,2142.7940880956594,1983.0131969131253,0.10107739854882601,3,13505.67961010792,-9220.091433916601
7,age_squared,2138.7169646258503,4416.350509163622,0.24493407263605677,3,27444.895127647556,-23167.461198395853
8,run5k,1303.5558195787064,1523.1902953342017,0.13823579979156714,3,10031.605124073994,-7424.493484916581
9,run400,230.9696046282188,403.356763961195,0.21290854730341569,3,2542.248591855842,-2080.309382599404
10,gender,176.18958856163954,616.5151252319724,0.3348200132891621,3,3708.8896237933554,-3356.5104466700764
11,filthy50,-0.16544034318940248,0.2291696731605713,0.8311908265091251,3,1.1477272974970645,-1.4786079838758694
12,helen,-102.78079616365721,263.616644257618,0.715452916855949,3,1407.7718088614786,-1613.333401188793
13,grace,-1182.1195148542272,1804.8693094866194,0.8128610539046678,3,9159.981777166695,-11524.220806875148
14,fran,-1192.4092234253233,2892.142706051706,0.7253736870467407,3,15379.889202699576,-17764.707649550222
15,pullups,-7211.929921270207,10705.160885005751,0.8182132659236692,3,54129.82908487162,-68553.68892741203
16,fgonebad,-21793.60471880378,29597.5858127293,0.8348549419835307,3,147803.84417437724,-191391.0536119848
