feature_set,feature_count,best_model,validation_rmse,test_rmse,test_mae,test_r2,training_seconds,prediction_seconds
all_features,13,WeightedEnsemble_L2,125.78332637783177,124.67884352188754,91.37594362085484,0.7956207858795439,11.573059666996414,0.23715512500348268
top_features,3,WeightedEnsemble_L2,142.56750786456158,141.97356556634955,105.21057555256864,0.7349876133435724,3.9903138340014266,0.20734308299870463
