feature,importance_mean,importance_std
gender,100.91967670894905,2.266732743788156
fran,31.681031207100677,0.7369043794236619
grace,18.47800434257572,0.6229568394310709
weight_height_ratio,12.917657418254825,0.6194605260229595
weight,9.155722902280482,0.6790310044147531
pullups,8.964930112550206,0.7408504000382569
bmi,6.868057366378451,0.2742560173461045
age,2.5576874793945783,0.47609579754665826
age_squared,2.4263345890832206,0.4499590906964656
region,1.258290865937018,0.10764965098182924
run5k,1.1192391457768072,0.11837416586805881
helen,1.0223037267140758,0.16342120345390224
height,0.8171854832648648,0.11623759283850493
