model_name,feature_set,feature_count,validation_rmse,validation_mae,validation_r2,test_rmse,test_mae,test_r2,training_wall_clock_seconds,prediction_seconds
DummyRegressorMean,dummy_mean,0,277.28202680349466,230.05426522057465,-0.0010095586238512144,275.7874027026914,227.82701135630177,-1.0110755832570817e-07,0.0009625829989090562,3.51249982486479e-05
RandomForestRegressor,all_features,13,128.3061204953369,94.09460170181292,0.7856667584435313,127.664662556656,94.3746107106559,0.7857145923180457,0.9110241669986863,0.06570512500184122
