platform,feature_set,feature_count,best_model,validation_rmse,test_rmse,test_mae,test_r2,training_seconds,prediction_seconds,is_automl,validation_rank,test_rmse_rank,test_r2_rank,training_speed_rank,prediction_speed_rank,validation_rmse_change_vs_rf_percent,test_rmse_change_vs_rf_percent,test_mae_change_vs_rf_percent,test_r2_change_vs_rf_percent
AutoGluon,all_features,13,WeightedEnsemble_L2,125.78332637783177,124.67884352188754,91.37594362085484,0.7956207858795439,11.573059666996414,0.23715512500348268,True,1,1,1,5,4,-1.9662305334816947,-2.3387983604651637,-3.177408698399514,1.2607877794750504
scikit-learn,all_features,13,RandomForestRegressor,128.3061204953369,127.664662556656,94.3746107106559,0.7857145923180457,0.9110241669986863,0.06570512500184122,False,2,2,2,2,2,0.0,0.0,0.0,0.0
H2O AutoML,all_features,13,GBM_2_AutoML_1_20260731_161446,130.70703837556354,129.43664056317857,96.19411272558284,0.7797247719343763,63.45678495900211,0.27930874999583466,True,3,3,3,6,6,1.871241894741803,1.3879941175861343,1.927957107558695,-0.7623404786206227
AutoGluon,top_features,3,WeightedEnsemble_L2,142.56750786456158,141.97356556634955,105.21057555256864,0.7349876133435724,3.9903138340014266,0.20734308299870463,True,4,4,4,4,3,11.115126319903803,11.208193969371468,11.481864412807845,-6.456158441046209
H2O AutoML,top_features,3,GBM_1_AutoML_1_20260731_162003,143.57868602858534,142.4881918956431,105.71871405697841,0.7330628954447825,3.419963958003791,0.2529092920012772,True,5,5,5,3,5,11.903224471511862,11.611301860770283,12.020291539111632,-6.701122441665253
scikit-learn,dummy_mean,0,DummyRegressorMean,277.28202680349466,275.7874027026914,227.82701135630177,-1.0110755832570817e-07,0.0009625829989090562,3.51249982486479e-05,False,6,6,6,1,1,116.10974264752403,116.02485541392502,141.4071005334252,-100.00001286822967
